id,title,subtitle,authors,publisher,published_date,description,categories,page_count,average_rating,ratings_count,language,isbn_10,isbn_13,info_link,buy_link,retail_price,currency_code,thumbnail_link,is_ebook,genre
nfAuAAAAMAAJ,Investigation Of Governmental Organization For Space Activities,"Hearings Before the Subcommittee on Governmental Organization for Space Activities of the Committee on Aeronautical and Space Sciences, United States Senate, Eighty-sixth Congress, First Session, on Investigation of Governmental Organization for Space Activities, March 24, 26, and April 14, 15, 22, 23, 24, 29, and May 7, 1959","United States. Congress. Senate. Committee On Aeronautical And Space Sciences. Subcommittee On Governmental Organization For Space Activities, United States. Congress Senate",,1959,"Reviews space program administration and coordination by NASA and DOD. Focuses on differing roles of NASA and DOD in the development of a space program. Includes report ""Interdepartmental Coordination in the Federal Administration of Scientific and Technological Functions"" by the Legislative Reference Service of the Library of Congress, 1959 (p. 661-745).",Astronautics,798,,0,en,,,https://play.google.com/store/books/details?id=nfAuAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=nfAuAAAAMAAJ&rdid=book-nfAuAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Science
PDR_ahkTf44C,Subject Index Of The Modern Books Acquired By The British Museum In The Years 1916-1920,,British Museum. Department Of Printed Books,,1922,,Best books,1040,,0,en,,,https://play.google.com/store/books/details?id=PDR_ahkTf44C&source=gbs_api,https://play.google.com/store/books/details?id=PDR_ahkTf44C&rdid=book-PDR_ahkTf44C&rdot=1&source=gbs_api,,,,True,Science
I2EcAAAAMAAJ,"Lectures On Science, Philosophy And Art, 1907-1908",,Columbia University,,1908,,Art,686,,0,en,,,https://play.google.com/store/books/details?id=I2EcAAAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=I2EcAAAAMAAJ&rdid=book-I2EcAAAAMAAJ&rdot=1&source=gbs_api,,,,True,Science
p0fODwAAQBAJ,Thomas Seebohm On The Foundations Of The Sciences,An Analysis and Critical Appraisal,Thomas Nenon,Springer Nature,2020-02-03,"This book explores the work of Thomas Seebohm (1934-2014), a leading phenomenologist and hermeneuticist. It features papers that offer a critical and constructive dialogue about Seebohm’s analyses and their implications for the sciences. The net result is an in-depth study and a helpful overview of Seebohm’s general approach and his specific views on various areas of modern science. The contributors focus especially upon his final text, History as a Science and the System of the Sciences. They v",Philosophy,245,,0,en,3030236617,9783030236618,https://play.google.com/store/books/details?id=p0fODwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=p0fODwAAQBAJ&rdid=book-p0fODwAAQBAJ&rdot=1&source=gbs_api,79.2,USD,,True,Science
i9vS8mFS-2MC,"Departments Of Labor, Health And Human Services, Education, And Related Agencies Appropriations For 2015","Hearings Before a Subcommittee of the Committee on Appropriations, House of Representatives, One Hundred Thirteenth Congress, Second Session","United States. Congress. House. Committee On Appropriations. Subcommittee On The Departments Of Labor, Health And Human Services, Education, And Related Agencies",,2014,,Administrative agencies,1116,,0,en,,,https://play.google.com/store/books/details?id=i9vS8mFS-2MC&source=gbs_api,https://play.google.com/store/books/details?id=i9vS8mFS-2MC&rdid=book-i9vS8mFS-2MC&rdot=1&source=gbs_api,,,,True,Science
9kOgsNM8OpMC,Career Opportunities In The Energy Industry,,"Allan Taylor, James Robert Parish",Infobase Publishing,2008,"Presents one hundred and thirty job descriptions for careers within the energy industry, and includes positions dealing with coal, electric, nuclear energy, renewable energy, engineering, machine operation, science, and others.",Business & Economics,385,,0,en,1438110693,9781438110691,http://books.google.com/books?id=9kOgsNM8OpMC&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
zJLqDwAAQBAJ,The Complete Book Of Colleges 2021,"The Mega-Guide to 1,349 Colleges and Universities",The Princeton Review,Princeton Review,2020-07,"""The mega-guide to 1,349 colleges and universities by the staff of the Princeton Review ... [including] detailed information on admissions, financial aid, cost, and more""--Cover.",Education,1154,,0,en,0525569413,9780525569411,http://books.google.com/books?id=zJLqDwAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
SRt1AwAAQBAJ,Sage Handbook Of Research On Classroom Assessment,SAGE Publications,James H. Mcmillan,SAGE Publications,2012-11-02,"The Sage Handbook of Research on Classroom Assessment provides scholars, professors, graduate students, and other researchers and policy makers in the organizations, agencies, testing companies, and school districts with a comprehensive source of research on all aspects of K-12 classroom assessment. The handbook emphasizes theory, conceptual frameworks, and all varieties of research (quantitative, qualitative, mixed methods) to provide an in-depth understanding of the knowledge base in each area",Education,577,,0,en,1452262055,9781452262055,http://books.google.com/books?id=SRt1AwAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
WktDAQAAMAAJ,Undergraduate Announcement,,University Of Michigan--Dearborn,,1987,,,228,,0,en,,,https://play.google.com/store/books/details?id=WktDAQAAMAAJ&source=gbs_api,https://play.google.com/store/books/details?id=WktDAQAAMAAJ&rdid=book-WktDAQAAMAAJ&rdot=1&source=gbs_api,,,,True,Science
_TaQAgAAQBAJ,Feminist Critical Policy Analysis I,,Catherine Marshall,Routledge,2005-10-05,"Challenging the traditional power basis of the policy decision-makers in education, this text illustrates the use of a critical and feminist lens in the creation of policies to meet the needs, aspirations and values of women and girls. Focus is on the primary and secondary sectors of education.",Education,263,,0,en,1135714657,9781135714659,http://books.google.com/books?id=_TaQAgAAQBAJ&dq=science&hl=&as_pt=BOOKS&source=gbs_api,,,,,False,Science
